Name1,Name2,Check,
Prabodh Panda,Shri Prabodh Panda,FALSE
Hansraj Gangaram Ahir,Dr.  Chinta Mohan,FALSE
P. L. Punia,Shri P.L. Punia,FALSE
Paban Singh Ghatowar,Shri Paban Singh Ghatowar,FALSE
Laxman Tudu,Shri Laxman Tudu,FALSE
C. Sivasami,Shri C. Sivasami,FALSE
Joseph Toppo,Shri Joseph Toppo,FALSE
Vishwa Mohan Kumar,Shri Vishwa Mohan Kumar,FALSE
Bapiraju Kanumuru,Shri Bapi Raju Kanumuri,FALSE
Krishna Tirath,Smt. Krishna Tirath,FALSE
Thokchom Meinya,Dr. Thokchom Meinya,FALSE
P. K Biju,Shri Parayamparanbil Kuttappan Biju,FALSE
Sri Prakash Jaiswal,Shri Sriprakash Jaiswal,FALSE
P. Kumar,Shri P. Kumar,FALSE
Raj Babbar,Shri Raj Babbar,FALSE
Jai Prakash Agarwal,Shri Jai Prakash Agarwal,FALSE
Sarika Singh,Smt. Sarika Devendra Singh Baghel,FALSE
Sanjay Singh,Dr. Sanjay Sinh,FALSE
G. V. Harsha Kumar,Shri G.V. Harsha Kumar,FALSE
Pratik Prakashbapu Patil,Shri Pratik Prakashbapu Patil,FALSE
Balram Porika Naik,Shri Porika Balram Naik,FALSE
Jayant Chaudhary,Shri Jayant Chaudhary,FALSE
Badri Ram Jakhar,Shri Badri Ram Jakhar,FALSE
Narahari Mahato,Shri Narahari Mahato,FALSE
Kakali Ghosh Dastidar,Dr. (Smt.) Kakoli Ghosh Dastidar,FALSE
Sabbam Hari,Shri Sabbam Hari,FALSE
Khiladi Lal Bairwa,Shri Khiladi Lal Bairwa,FALSE
Ramkishun,Shri  Ramkishun,FALSE
Rajnath Singh,Shri Rajnath Singh,FALSE
Angadi Suresh Channabasappa,Shri Suresh Chanabasappa Angadi,FALSE,
Ganeshrao Nagorao Dudhgaonkar,Shri Ganeshrao Nagorao Dudhgaonkar,FALSE,
Mahesh Joshi,Dr. Mahesh Joshi,FALSE,
Deepender Singh Hooda,Shri Deepender Singh Hooda,FALSE,
Sambasiva Rayapati Rao,Shri Rayapati Sambasiva Rao,FALSE,
Ganesh Singh,Shri Ganesh Singh,FALSE,
T. K. S. Elangovan,Shri T.K.S. Elangovan,FALSE,
Jyotiraditya Madhavrao Scindia,Shri Jyotiraditya Madhavrao Scindia,FALSE,
Bhudeo Choudhary,Shri Bhudeo Choudhary,,
,Shri Abhijit Mukherjee,,
Abhijit Mukherjee,Abhijit Mukherjee,FALSE,Both are there in the politicians file. Different constit
Gurudas Dasgupta,Shri Gurudas Dasgupta,FALSE,
Vijay Inder Singla,Shri Vijay Inder Singla,FALSE,
C P Joshi,Dr. C. P. Joshi,FALSE,
Jaya Prada Nahata,Smt. P. Jaya Prada Nahata,FALSE,
Sameer Bhujbal,Shri Sameer Magan Bhujbal,FALSE,
Kabindra Purkayastha,Shri Kabindra Purkayastha,FALSE
B. Y. Raghavendra,Shri Raghavendra Yeddyurappa,FALSE
Beni Prasad Verma,Shri Beni Prasad Verma,FALSE
Janardhana Swamy,Shri Janardhana Swamy,FALSE
Rajesh Nandini Singh,Smt. Rajesh Nandini Singh,FALSE
Mukul Balkrishna Wasnik,Shri Mukul Balkrishna Wasnik,FALSE
Ghansyam Anuragi,Shri Ghanshyam Anuragi,FALSE
Pradeep Tamta,Shri Pradeep Tamta,FALSE
Mausam Noor,Smt. Mausam Noor,FALSE
Santosh Chowdhary,Smt. Santosh Chowdhary,FALSE
Marotrao Sainuji Kowase,Shri Marotrao Sainuji Kowase,FALSE
Gajendra Singh Rajukhedi,Shri Gajendra Singh Rajukhedi,FALSE
Guddu Premchand,Shri Prem Chand Guddu,FALSE
Anand Prakash Paranjape,Shri Anand Prakash Paranjpe,FALSE
Harishchandra Chavan,Shri Harischandra Deoram Chavan,FALSE
Shafiqur Rahman Barq,Shri Shafiqur Rahman Barq,FALSE
Haribhau Madhav Jawale,Shri Haribhau Madhav Jawale,FALSE
Kirti Azad,Shri Kirti (Jha) Azad,FALSE
Adhi Sankar,Shri  Adhi Sankar,FALSE
E. Ahamed,Shri E. Ahamed,FALSE
Sher Singh Ghubaya,Shri Sher Singh Ghubaya,FALSE
Bhisma Shankar,Shri Bhismshankar Alias Kushal Tiwari,FALSE
Ninong Ering,Shri Ninong Ering,FALSE
Biren Singh Engti,Shri Biren Singh Engti,FALSE
Anandrao Vithoba Adsul,Shri Anandrao Adsul,FALSE
Charan Das Mahant,Dr. Charan Das Mahant,FALSE
Sanjay Shamrao Dhotre,Shri Sanjay Shamrao Dhotre,FALSE
Srikant Kumar Jena,Shri Srikant Kumar Jena,FALSE
S. R. Jeyadurai,Shri S. R. Jeyadurai,FALSE
Madhusudan Yadav,Shri Madhusudan Yadav,FALSE
Prabha Kishor Taviad,Dr. (Smt.) Prabha Kishor Taviad,FALSE
Mirza Mehboob Beg,(Dr.) Mirza Mehboob Beg,FALSE
Padamsinha Bajirao Patil,Dr. Padmasinha  Bajirao Patil,FALSE,
Abhijit Mukherjee,Shri Abhijit Mukherjee,FALSE,
Pashupati Nath Singh,Shri Pashupati Nath Singh,FALSE,
Agatha K Sangma,Kum. Agatha K. Sangma,FALSE,
Virender Kashyap,Shri Virender Kashyap,FALSE,
Subhash Bapurao Wankhede,Shri Subhash Bapurao Wankhede,FALSE,
H. D. Devegowda,Shri H.D. Devegowda,FALSE,
Ramesh Jigajinagi,Shri Ramesh Chandappa Jigajinagi,FALSE,
Amarnath Pradhan,Shri Amarnath Pradhan,FALSE,
Thangso Baite,Shri Thangso Baite,FALSE,
Suresh Kashinath Taware,Suresh Kashinath Taware,,
Divya Spandana a.k.a Ramya,Divya Spandana a.k.a Ramya,,
,Shri N. Chaluvaraya Swamy,FALSE,Different constit Shri N. Chaluvaraya Swamy Resigned. Replaced by Ramya
Suresh Kalmadi,Shri Suresh Kalmadi,FALSE,
Solanki Kiritbhai Premajibhai,Dr. Kirit Premjibhai Solanki,FALSE,
Sanjay Bhoi,Shri Sanjay Bhoi,FALSE,
Subodh Kant Sahay,Shri Subodh Kant Sahai,FALSE,
Annu Tandon,Smt. Annu Tandon,FALSE,
Brijbhushan Sharan Singh,Shri Brijbhushan Sharan Singh,FALSE,
Jitendra Singh,Shri Jitendra Singh,FALSE,
Kamla Devi Patle,Smt. Kamla Devi Patle,FALSE,
Rajaram Pal,Shri Raja Ram Pal,FALSE,
Bibhu Prasad Tarai,Shri Bibhu Prasad Tarai,FALSE,
Raghuvansh Prasad Singh,Dr. Raghuvansh Prasad Singh,FALSE,
Tushar Amarsinh Chaudhary,Dr. Tushar Amarsinh Chaudhary,FALSE,
D.B. Chandre Gowda,Shri Chandre D.B. Gowda,FALSE,
,Ramashankar Rajbhar,,
Ramashankar Rajbhar,Shri Ramashankar Rajbhar,,
,Shri Sansuma Khunggur Bwiswmuthiary,,
Sansuma Khunggur Bwiswmuthiary,Sansuma Khunggur Bwiswmuthiary,FALSE,Both are there in the politicians file. Different constit
Tabassum Begum,Begum Tabassum Hasan,FALSE,
Shivkumar Chanabasappa Udasi,Shri Shivkumar Chanabasappa Udasi,FALSE,
Harish Chaudhary,Shri Harish Choudhary,FALSE,
Bal Kumar Patel,Shri Bal Kumar Patel,FALSE,
Tarachand Bhagora,Shri Tarachand Bhagora,FALSE,
Saugata Roy,Prof. Saugata Roy,FALSE,
Ram Sundar Das,Shri Ram Sundar Das,FALSE,
Ramshankar,Prof.(Dr.)  Ram Shankar,FALSE,
Jayshreeben Patel,Smt. Jayshreeben Patel,FALSE,
Asaduddin Owaisi,Shri Asaduddin Owaisi,FALSE,
Ravindra Kumar Pandey,Shri Ravindra Kumar Pandey,,
Ravindra Kumar Pandey,Ravindra Kumar Pandey,,
Tarun Mondal,Dr. Tarun Mandal,FALSE,Both are there in the politicians file Different constit
Bishnu Pada Ray,Shri Bishnu Pada Ray,FALSE,
Shripad Yasso Naik,Shri Shripad Yesso Naik,FALSE,
Ponnam Prabhakar,Shri Ponnam Prabhakar,FALSE,
N S V Chitthan,Shri N.S.V. Chitthan,FALSE,
Adagur H. Vishwanath,Shri Adagooru Huchegowda Vishwanath,FALSE,
J M Aaron Rashid,Shri J.M. Aaroon Rasheed,FALSE
Tufani Saroj,Shri Tufani Saroj,FALSE
K. Sudhakaran,Shri Kumbakudi Sudhakaran,FALSE
Lal Ji Tandon,Shri Lal Ji Tandon,FALSE
Babulal Marandi,Shri Babu Lal Marandi,FALSE
Kantilal Bhuria,Shri Kantilal Bhuria,FALSE
Ramen Deka,Shri Ramen Deka,FALSE
K. Sugumar,Shri Bansa Gopal Chowdhury,FALSE
Kapil Muni Karwariya,Shri Kapil Muni Karwariya,FALSE
Gajanan Dharmshi Babar,Shri Gajanan Dharmshi Babar,FALSE
Harin Pathak,Shri Harin Pathak,FALSE
Jagdish Sharma,Shri Jagdish Sharma,FALSE
Y. S. Jagan Mohan Reddy,Shri Y. S. Jagan Mohan Reddy,FALSE
Lalu Prasad,Shri  Lalu Prasad,FALSE
Ranjan Prasad Yadav,Prof. Ranjan Prasad Yadav,FALSE
Baijayant Panda,"Shri Baijayant ""Jay"" Panda",FALSE
Baidyanath Prasad Mahto,Shri Baidyanath Prasad Mahto,FALSE
Ch. Lal Singh,Chaudhary Lal Singh,FALSE
Harsimrat Kaur Badal,Smt. Harsimrat Kaur Badal,FALSE
Supriya Sule,Smt. Supriya Sadanand Sule,FALSE
K. H. Muniyappa,Shri K.H. Muniyappa,FALSE
Mekapati Rajamohan Reddy,Shri Mekapati Rajamohan Reddy,FALSE
Kalikesh Narayan Singh Deo,Shri Kalikesh Narayan Singh Deo,FALSE
